,x1,y1,Mean,Mean_uncer,sigma,sigma_uncer,A,A_uncer
477,2300,2100,3414.967508,0.125210036,12.89169638,0.015691601,303.5139994,6.517236112
478,2400,2100,3420.926659,0.186461412,19.37339792,0.034814937,196.2758307,2.679210062
479,2500,2100,3420.12373,0.85044869,26.8756729,0.725004882,102.835419,7.943142904
480,200,2200,3415.125105,0.098207768,11.85204641,0.00964595,334.3614888,5.757382052
481,300,2200,3417.424252,0.070772519,10.60530259,0.00501514,354.6485498,4.247926302
482,400,2200,3420.399416,0.074134543,9.969650542,0.005504062,362.9957648,5.486123509
483,500,2200,3418.199304,0.0794415,8.476655735,0.006310321,458.6866579,13.85913054
484,600,2200,3419.964128,0.069118873,8.752102077,0.004708685,420.1410481,8.137500211
485,700,2200,3421.192095,0.062160527,8.967055054,0.003866157,388.1696526,5.469656101
486,800,2200,3423.741065,0.236125231,10.68251949,0.056048018,306.1626862,34.36442282
487,900,2200,3424.891739,0.310047191,11.56409003,0.097234874,258.8043533,36.14528337
488,1000,2200,3417.835378,0.071521103,8.326221474,0.00512065,470.9060768,12.29412579
489,1100,2200,3417.254406,0.047548071,8.386589043,0.002275902,455.7027534,5.024932445
490,1200,2200,3416.896118,0.058785326,8.483378478,0.003447028,453.1564435,7.358532211
491,1300,2200,3416.776226,0.07551241,8.244440043,0.005708653,473.2727111,14.09548378
492,1400,2200,3416.636082,0.063403897,8.161577118,0.004103348,395.0229642,7.199193053
493,1500,2200,3416.522716,0.082069392,8.263646126,0.006728812,478.5086445,16.92534269
494,1600,2200,3416.683269,0.054877701,8.54587325,0.0030122,434.9213034,5.850299958
495,1700,2200,3415.496949,0.062041204,8.457591386,0.003856001,455.7026401,8.391445495
496,1800,2200,3413.653102,0.066719376,8.052900861,0.004455529,487.1745753,12.21930228
497,1900,2200,3412.796756,0.06784928,7.970761514,0.004598097,494.8488937,13.31061718
498,2000,2200,3415.076747,0.071362819,8.798039896,0.005104069,427.0836525,9.014811929
499,2100,2200,3417.549652,0.138425096,10.98661811,0.01918436,312.981778,11.66488175
500,2200,2200,3416.386361,0.111466872,11.13363036,0.012415833,309.9674727,7.181580976
501,2300,2200,3417.805865,0.121844508,13.64217562,0.01484416,258.2818266,3.970556598
502,2400,2200,3415.440876,0.173885171,16.90413369,0.030226138,226.5364016,4.071428498
503,2500,2200,3417.694481,0.826503499,25.94346274,0.685104122,105.1582302,8.42433073
504,200,2300,3415.94772,0.098662675,12.10159649,0.009743445,316.3412776,4.990197445
505,300,2300,3417.755003,0.085697912,10.2505698,0.007339054,376.6413304,7.415884879
506,400,2300,3419.03519,0.068698255,9.838322632,0.004762828,362.1801386,4.825689015
507,500,2300,3417.89212,0.078660304,8.274190339,0.00617658,477.3179208,15.42134728
508,600,2300,3421.189362,0.069502296,8.957285381,0.004846514,397.9732209,7.268821165
509,700,2300,3419.955869,0.053618958,8.397897061,0.002908689,441.7220466,6.053227645
510,800,2300,3424.619082,0.149191533,10.07894441,0.022232739,339.577218,18.83370834
511,900,2300,3425.240141,0.160085983,10.60428836,0.025777316,306.1711157,16.13258643
512,1000,2300,3419.147824,0.065002866,8.502596259,0.004202013,435.8493586,8.254360555
513,1100,2300,3418.717773,0.063188515,8.424680208,0.003969408,453.6069515,8.703436233
514,1200,2300,3419.167322,0.058675895,8.504514746,0.003443718,428.4780079,6.554763936
515,1300,2300,3419.533089,0.073665077,8.799335757,0.00543099,430.0588582,9.722989027
516,1400,2300,3417.460014,0.076904297,8.132737169,0.005913341,405.4516263,11.02215148
517,1500,2300,3417.659132,0.067330109,8.15966337,0.004535551,479.5137543,11.74220149
518,1600,2300,3417.028903,0.061231838,8.172665522,0.003771679,473.5079409,9.557171705
519,1700,2300,3416.967998,0.061274786,8.490007841,0.003756044,445.1605338,7.742359719
520,1800,2300,3415.507466,0.055980075,8.294580635,0.003158308,442.3734548,6.71662041
521,1900,2300,3414.459047,0.059987966,8.266798226,0.003591708,462.9968079,8.417147808
522,2000,2300,3414.887081,0.066373852,8.402509507,0.004406603,465.23203,10.13026811
523,2100,2300,3418.231622,0.209104077,11.04004954,0.043817579,283.5217624,21.65085939
524,2200,2300,3414.25066,0.0902055,10.51703736,0.008141409,368.7136413,7.501603465
525,2300,2300,3416.476746,0.181124945,14.3678128,0.032878233,224.5042598,6.009157168
526,2400,2300,3415.292272,0.16714885,18.01521122,0.027797444,209.3241823,2.819421281
527,2500,2300,3420.00569,1.043898687,27.62064147,1.094619855,96.60468733,10.00437093
528,200,2400,3415.458132,0.095622503,11.97295602,0.009147739,329.632203,5.198500053
529,300,2400,3421.673703,0.097661266,11.58319778,0.009553403,294.0094123,4.614294263
530,400,2400,3418.145654,0.068914513,8.99562412,0.004748114,430.980094,8.174980094
531,500,2400,3418.753008,0.069244228,8.503263317,0.004797803,447.7792889,9.987883491
532,600,2400,3419.932147,0.066142787,8.373334548,0.004377671,457.5245619,9.838424508
533,700,2400,3419.550942,0.058857306,8.118779751,0.003464613,478.2834059,9.016817688
534,800,2400,3420.74378,0.060344218,8.591545454,0.003624431,448.1404684,7.393255323
535,900,2400,3420.492323,0.061529351,8.578506433,0.003771148,431.8126246,7.21716495
536,1000,2400,3419.76352,0.066684294,8.39205709,0.004451447,465.6097543,10.27360059
537,1100,2400,3420.103609,0.079983633,8.589452208,0.006396875,448.2077541,13.06432648
538,1200,2400,3418.891007,0.074603957,7.991949338,0.00555823,493.9797911,15.91886291
539,1300,2400,3419.230418,0.070994731,8.388531144,0.005067884,466.1886711,11.7170147
540,1400,2400,3419.58491,0.071714785,8.080398663,0.005144484,407.6138264,9.811110243
541,1500,2400,3419.932904,0.062780732,8.475177805,0.003941678,448.6385101,8.283449635
542,1600,2400,3419.163618,0.050317205,8.108268199,0.002536155,479.675491,6.672778856
543,1700,2400,3417.139379,0.086835602,8.030187493,0.007541542,494.1250534,21.41401998
544,1800,2400,3416.183286,0.057005741,8.161992177,0.003250505,476.6750085,8.313294359
545,1900,2400,3415.543248,0.064512182,8.664649122,0.004168126,422.3537711,7.418133698
546,2000,2400,3414.1779,0.080047738,8.367026977,0.006424784,467.491709,15.04766989
547,2100,2400,3413.854769,0.072552724,9.05954352,0.005268279,428.8975526,8.868952808
548,2200,2400,3412.023902,0.109980756,9.992030881,0.012128277,395.3623325,14.25378861
549,2300,2400,3412.018763,0.110104308,12.58726784,0.012112899,308.1140513,5.440595051
550,2400,2400,3413.42386,0.1584367,17.28679829,0.025096054,224.5161667,3.17525542
551,2500,2400,3417.411853,0.866803434,27.59575483,0.753015533,97.73280407,7.068508829
552,200,2500,3415.631236,0.10475576,12.04918197,0.010975824,328.2051861,6.10683351
553,300,2500,3416.602124,0.066510811,10.09576102,0.004408072,373.6299205,4.511639455
554,400,2500,3419.860195,0.080479283,9.650087224,0.006451301,377.903503,7.391203656
555,500,2500,3419.620422,0.078684333,8.807291178,0.006175606,432.8995661,11.19285986
556,600,2500,3419.793391,0.067096276,8.397896259,0.004502806,453.5155793,9.847255068
557,700,2500,3420.733892,0.077993068,8.562067275,0.006112978,444.5013652,12.36908471
558,800,2500,3421.077904,0.066717234,8.348756441,0.004459127,462.583792,10.28702363
559,900,2500,3422.369111,0.080185324,8.561927448,0.006439778,448.5561898,13.25927586
560,1000,2500,3422.088651,0.055515592,8.564058239,0.00309759,424.7274388,5.722065776
561,1100,2500,3421.67349,0.050090923,8.540775305,0.002525986,433.7540375,4.915356386
562,1200,2500,3422.254366,0.064689494,8.391139671,0.004185622,473.8280677,10.00771359
563,1300,2500,3424.042883,0.050644831,8.444282072,0.002639676,453.6031344,5.687068893
564,1400,2500,3424.370018,0.067025559,8.530332273,0.004492363,360.7227259,6.025059527
565,1500,2500,3424.991639,0.075052405,8.746276756,0.005659553,435.0407969,10.48611154
566,1600,2500,3423.103337,0.050794522,8.061653595,0.002585234,464.2951125,6.424942132
567,1700,2500,3422.381616,0.076002051,8.764459589,0.005793826,414.4143315,9.706043033
568,1800,2500,3419.122969,0.080485964,8.268175254,0.006490777,465.2852589,15.44900105
569,1900,2500,3416.184498,0.058962609,8.180410491,0.003487382,480.6444417,9.014022154
570,2000,2500,3415.927256,0.084557229,9.174356372,0.007119004,392.5803143,9.783554621
571,2100,2500,3414.545067,0.067095448,9.272566711,0.004473289,404.017212,6.367128058
572,2200,2500,3413.69388,0.105123287,10.6454744,0.01101541,356.026099,9.249195113
573,2300,2500,3413.25996,0.117516122,12.51531102,0.013809838,308.9251842,6.300965335
574,2400,2500,3414.484392,0.136799131,16.93608327,0.018714793,224.7419321,2.471507783
575,2500,2500,3424.795022,0.951059555,31.02655955,0.910012415,74.01163211,3.867737311
576,200,2600,3415.323334,0.096553709,11.59401566,0.009358775,340.9969746,6.075363931
577,300,2600,3416.518913,0.08464752,9.979843926,0.007160793,397.7058721,8.52706319
578,400,2600,3417.709461,0.065694806,8.887886872,0.004316509,438.2320351,7.869638993
579,500,2600,3419.55203,0.058895843,8.861168245,0.003478678,413.2752221,5.707933999
580,600,2600,3420.802533,0.070750148,8.816786773,0.005027675,425.9422761,8.772076712
581,700,2600,3422.056961,0.066503695,8.87156916,0.004427333,402.9113977,6.842830608
582,800,2600,3424.993356,0.090255682,9.403875455,0.008178455,386.8887516,10.39217108
583,900,2600,3423.840752,0.067548718,8.346063401,0.00456972,466.6586788,10.70344241
584,1000,2600,3424.880071,0.078769785,8.516637391,0.006180943,454.6154407,13.18370794
585,1100,2600,3425.888411,0.067482299,8.740926489,0.004542245,422.6756759,8.017246552
586,1200,2600,3427.155353,0.061889635,8.542025289,0.003844741,442.4533906,7.739222432
587,1300,2600,3427.816739,0.069982693,8.586645292,0.004937047,415.5860242,8.67693695
588,1400,2600,3427.227133,0.079399291,8.305337869,0.006305598,379.2748017,9.860669168
589,1500,2600,3426.389678,0.071783376,8.366569827,0.005158137,466.7038451,12.0272983
590,1600,2600,3425.028032,0.071062409,8.094050517,0.005054219,481.8586081,13.41144232
591,1700,2600,3423.517017,0.061118374,8.287456686,0.00374029,457.3202589,8.441542832
592,1800,2600,3421.257152,0.063305604,7.990045172,0.004028623,479.2949175,11.01076374
593,1900,2600,3419.840126,0.058975057,8.257153237,0.003427873,458.5469866,7.925664021
594,2000,2600,3417.229859,0.063774288,8.60865618,0.004062541,442.4485233,8.045839203
595,2100,2600,3413.657615,0.068765174,8.738690692,0.004738751,445.5911288,9.147830558
596,2200,2600,3414.568913,0.084260426,11.07603627,0.007153038,329.6864788,4.744564059
597,2300,2600,3412.906645,0.140601747,12.27786274,0.0197679,321.5879057,10.17107694
598,2400,2600,3415.287711,0.153959681,17.11793398,0.023714353,226.6319552,3.116448301
599,2500,2600,3422.024496,0.872991983,27.65576789,0.764107414,99.17179816,7.352669624
600,200,2700,3417.061704,0.07918685,12.29099316,0.006271735,313.4134107,3.058129828
601,300,2700,3416.974805,0.069189033,9.990204965,0.004788592,383.6117497,5.294321354
602,400,2700,3418.440391,0.080334533,9.093156069,0.00645286,427.9130788,10.6970434
603,500,2700,3419.093024,0.089985627,8.555981985,0.008098918,457.096946,17.33391587
604,600,2700,3422.134047,0.082004839,9.43494335,0.006790128,374.2730496,7.988737158
605,700,2700,3421.996907,0.067025123,8.339994627,0.004490996,460.4762632,10.26699666
606,800,2700,3424.759597,0.081971376,8.538967306,0.006720739,458.1505963,14.50817657
607,900,2700,3435.855303,0.366547646,13.05273931,0.137839973,180.8665237,19.43177368
608,1000,2700,3431.925471,0.226838732,10.53878762,0.051536817,319.5048427,35.49860616
609,1100,2700,3429.869944,0.058363893,8.52797179,0.003406666,427.1708557,6.410156945
610,1200,2700,3430.84944,0.079901371,8.888807995,0.006395809,431.691783,11.32990964
611,1300,2700,3432.920012,0.08220781,8.966151851,0.006768099,429.64607,11.65922271
612,1400,2700,3433.317758,0.101555433,8.691029899,0.01032971,366.4744765,13.75661117
613,1500,2700,3432.501771,0.061100353,8.456206338,0.003733388,466.0343892,8.504114917
614,1600,2700,3429.467369,0.065553068,8.075722289,0.004299917,489.8309686,11.85278778
615,1700,2700,3427.435727,0.073939249,8.359950139,0.005471625,458.3917851,12.33120632
616,1800,2700,3423.790542,0.07276608,8.466848936,0.005196265,456.6876678,11.04586438
617,1900,2700,3423.49853,0.110922682,9.648417132,0.012402322,348.8012694,12.16428338
618,2000,2700,3417.888529,0.052695161,8.29420762,0.002790934,467.4138741,6.656048732
619,2100,2700,3416.505477,0.068570591,9.387298947,0.004703375,404.2090539,6.538725681
620,2200,2700,3414.338955,0.065804599,10.74476457,0.004296601,353.0420771,3.476927068
621,2300,2700,3413.681868,0.120320332,12.57091736,0.014472342,311.7789273,6.679252231
622,2400,2700,3417.772797,0.178392074,17.45339171,0.031819857,222.2035153,3.868071013
623,2500,2700,3452.566704,1.481784471,41.61830503,2.317864209,56.04310464,2.990226993
624,200,2800,3415.722896,0.102288034,11.71057579,0.010509515,337.152079,6.537659849
625,300,2800,3416.548134,0.080120195,9.861540462,0.00642381,398.172572,7.850786119
626,400,2800,3417.704457,0.051507502,8.993642877,0.002658383,440.4008232,4.781594419
627,500,2800,3419.105158,0.057538746,8.438774855,0.003340805,461.8470853,7.488329276
628,600,2800,3421.120797,0.067184965,8.191812083,0.004518745,475.7175293,11.4297887
629,700,2800,3423.164005,0.062071991,8.554179336,0.003834758,448.1487636,7.898034436
630,800,2800,3426.38384,0.081124876,9.242865548,0.006545355,326.3173036,6.041642911
631,900,2800,3434.37097,0.121260183,10.04373914,0.01477319,322.250578,11.39876967
632,1000,2800,3433.594761,0.104553616,9.069754781,0.010926973,414.0854944,17.05261613
633,1100,2800,3433.558171,0.079693248,9.2751366,0.006395277,380.5544738,8.07525583
634,1200,2800,3437.38208,0.065715848,8.716198275,0.00431745,451.9793015,8.684999109
635,1300,2800,3441.079673,0.053225185,-8.801836855,0.002835008,440.6351885,5.325357346
636,1400,2800,3441.505555,0.098005501,9.125778809,0.009615956,339.7789201,9.988460773
637,1500,2800,3438.98098,0.062175497,-8.543915943,0.003865926,449.4121532,8.021592645
638,1600,2800,3437.682642,0.081376667,9.497092575,0.006628274,364.2098379,7.31100475
639,1700,2800,3431.97943,0.060097748,8.739231182,0.003609302,430.7316576,6.571281574
640,1800,2800,3427.189031,0.050205132,8.094381617,0.002527823,482.8081596,6.741893113
641,1900,2800,3421.909101,0.061335306,8.346093958,0.003753408,453.8315084,8.32102052
642,2000,2800,3419.404878,0.076744653,9.017035905,0.005897779,405.9479967,8.929994809
643,2100,2800,3418.259089,0.052771688,8.830455506,0.002764921,434.4756083,5.032668447
644,2200,2800,3415.669683,0.084202697,10.97459068,0.007080056,354.0566939,5.526269625
645,2300,2800,3413.727238,0.090161522,12.4638525,0.008132951,309.4091276,3.755174874
646,2400,2800,3417.511735,0.154563799,17.68581575,0.023904358,217.3313304,2.706416963
647,2500,2800,3426.101097,0.926695574,28.3013696,0.861337381,95.80930708,7.379943841
648,200,2900,3416.157881,0.089323996,11.9419154,0.007992284,331.0459,4.599762758
649,300,2900,3418.582134,0.077692365,10.40311163,0.00604123,352.8984749,5.267867144
650,400,2900,3418.741074,0.069210008,9.232954469,0.004791983,411.1676581,7.12516479
651,500,2900,3420.088571,0.074233025,8.483718479,0.005517362,457.1219925,12.01985577
652,600,2900,3422.932147,0.05950631,8.585596499,0.003496759,441.4489399,6.913771763
653,700,2900,3424.102859,0.051695119,8.432646909,0.002670338,451.8621876,5.724255074
654,800,2900,3426.494906,0.08451537,8.310639532,0.007147553,455.5159108,16.11647927
655,900,2900,3431.398737,0.076571918,9.183952108,0.005855375,402.3112557,8.449590367
656,1000,2900,3432.485418,0.061528736,8.578652995,0.003782543,451.2201285,7.81446287
657,1100,2900,3440.437679,0.096807032,-9.341225267,0.009382406,422.6822607,14.39440989
658,1200,2900,3447.529871,0.176016166,-10.2264895,0.032626716,353.9534651,27.85033226
659,1300,2900,3456.255564,0.269657336,11.64233809,0.091167548,281.9818422,21.71707982
660,1400,2900,3457.736468,0.289922329,11.551716,0.10088616,162.8121362,7.08749324
661,1500,2900,3453.390376,0.169134887,10.85807442,0.034961509,340.8214401,19.0838227
662,1600,2900,3442.727493,0.129889154,-9.394429035,0.016934579,422.0362685,25.55161318
663,1700,2900,3434.521832,0.084848568,8.502737545,0.007200098,454.9363994,15.45783441
664,1800,2900,3428.525696,0.086168497,8.162343505,0.007422412,470.9658418,18.51262532
665,1900,2900,3423.984563,0.053738429,8.175009255,0.002888473,474.4478878,7.281015361
666,2000,2900,3421.030346,0.075106432,8.598782923,0.005644726,450.0813025,11.59222094
667,2100,2900,3418.162585,0.074310143,9.075063175,0.005522061,429.1870768,9.262973631
668,2200,2900,3417.019376,0.074783989,10.15404983,0.005585862,378.2735406,5.8112198
669,2300,2900,3412.721436,0.108783785,12.19473824,0.01184752,322.1197032,6.183611118
670,2400,2900,3416.16203,0.13752155,18.09411452,0.018912665,204.9676184,1.820115555
671,2500,2900,3419.257259,0.850838061,27.69399829,0.725160924,97.70681476,6.760605286
672,200,3000,3416.150586,0.078095423,11.94973595,0.006099929,315.3751443,3.186141521
673,300,3000,3418.888124,0.072562743,10.68099451,0.00530126,358.4569144,4.481859687
674,400,3000,3418.791995,0.065151491,8.996031752,0.004234966,432.649093,7.28574002
675,500,3000,3420.849254,0.08423905,8.413007191,0.007115954,461.6923373,16.04435248
676,600,3000,3422.300048,0.056755627,8.114970063,0.003221248,486.9905986,8.700595181
677,700,3000,3424.517364,0.074570943,8.643471573,0.005563175,435.574632,10.59216353
678,800,3000,3427.089181,0.055280646,8.500747144,0.003063379,454.229877,6.528740045
679,900,3000,3431.184301,0.066265801,8.37761724,0.004416488,465.612782,10.24656941
680,1000,3000,3436.443352,0.088156954,8.741567587,0.007770636,453.4521423,15.65656436
681,1100,3000,3446.108718,0.113165468,-9.285588248,0.013000968,418.9112443,19.59138233
682,1200,3000,3463.185943,0.432221312,11.5043812,0.146056906,241.7639937,11.52127746
683,1300,3000,3482.711414,8.513416786,11.69731218,6.74385963,141.6339916,6717.071429
684,1500,3000,3492.536341,8.868764594,16.19530615,5.570832992,349.9020834,31221.49882
685,1600,3000,3454.922844,0.251752659,11.47848057,0.079477588,308.1945269,26.79436259
686,1700,3000,3437.393611,0.129003988,-9.933900949,0.016690672,387.2540365,18.97542044
687,1800,3000,3430.80546,0.078605941,8.867826091,0.006111611,412.824786,9.87256166
688,1900,3000,3426.056019,0.06981275,8.017917017,0.004875955,490.1162924,13.6740518
689,2000,3000,3421.789313,0.065526014,8.26896858,0.004293768,470.0967863,10.40806369
690,2100,3000,3419.55334,0.057034967,9.462885489,0.003243155,396.7636163,4.270019741
691,2200,3000,3417.830684,0.086379265,10.20354556,0.007473986,383.9359417,7.942027809
692,2300,3000,3416.180222,0.094691107,13.75915062,0.008966983,270.4596212,2.598368503
693,200,3100,3418.597797,0.079275276,12.32329435,0.006303196,305.6899602,2.92410687
694,300,3100,3418.247028,0.074778811,10.09838924,0.005614684,388.3290026,6.207121825
695,400,3100,3418.820158,0.066630363,8.937470237,0.004491388,435.0164329,8.049791952
696,500,3100,3421.327498,0.065713526,8.590391637,0.004319813,439.2360072,8.467797644
697,600,3100,3423.100088,0.066703492,8.479506463,0.004448208,467.1546557,10.08342591
698,700,3100,3424.709624,0.046766681,8.229235083,0.002188871,466.9424982,5.283108791
699,800,3100,3429.785982,0.076493522,8.806180846,0.00586798,429.1573508,10.46377295
700,900,3100,3431.76555,0.074297355,8.394645069,0.005512113,466.7418595,12.78202758
701,1000,3100,3438.977098,0.071518393,-8.709026721,0.005115631,454.8818745,10.46570193
702,1700,3100,3413.460006,0.862612562,-3.399659014,1.012196846,2.42033317,0.135634433
703,1800,3100,3431.333902,0.080046725,8.684007816,0.006418662,441.11727,12.40293096
704,1900,3100,3427.441904,0.064695084,8.528574494,0.004186905,455.147537,8.940950798
705,2000,3100,3423.392014,0.068251961,8.549882598,0.004649927,423.6805027,8.569182536
706,2100,3100,3419.549783,0.053325438,9.064526001,0.002811692,415.7476498,4.432210345
707,2200,3100,3419.660843,0.085814206,10.62102514,0.007348814,356.6126553,6.224284722
708,2300,3100,3416.003152,0.101568546,12.78032978,0.010316919,304.6346917,4.396037978
709,200,3300,3418.357116,0.107594888,12.13302819,0.011582156,324.1762002,6.204109441
710,300,3300,3418.322183,0.090331737,9.773552716,0.008155555,403.9846981,10.45580686
711,400,3300,3418.802923,0.085063525,8.837881673,0.007231184,444.1673397,13.69440014
712,500,3300,3423.160013,0.092737227,9.276171726,0.008653134,385.7772031,11.24271733
713,600,3300,3429.987878,0.094821859,9.912864822,0.009006691,308.2845906,6.52388158
